Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.7.25 MIA v CHA Team,66.39626559799310,17.801005170324700,Miami Heat,1,,-ve Cutting & Screening: Principle,,,,-ve Footwork: Patient Pickup,,,+ve Positioning - Create Shape,,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind, +ve Relocate: Reverse Direction",3pt,Made,7z11,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,100.49257913232200,16.501306474685900,Miami Heat,2,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Dunker- Baseline Cut, -ve Relocate: Reverse Direction",,,,"+ve Space Read: Live Dribble, -ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,138.69335502566400,10.90126647933410,Miami Heat,3,,-ve Cutting & Screening: Principle,"-ve DM Catch: Swing, -ve DM Catch: Uncontested Shot",,,+ve Footwork: Step to Ball,-ve Passing: Read the Length,,,,,3pt,Made,6z11,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,160.49193500666800,10.903182580329300,Miami Heat,4,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,-ve QB12: Strong Side,"-ve Relocate: Weak Corner, +ve Relocate: Fill Behind",Short 2,Made,5z7,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,212.7954016943360,10.999666999655600,Miami Heat,5,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Denial, +ve Cutting & Screening: Cut Fill",+ve DM Catch: Drive a Swing/Skip Pass,,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,-ve QB12: Weak Side,"+ve Relocate: 45 Cut, -ve Relocate: Fill Behind, +ve Relocate: Dunker- Baseline Cut",Short 2,Made,5z5,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,261.0944556323210,8.8190699406789,Miami Heat,6,,-ve Cutting & Screening: Cut Fill,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",,,+ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,"+ve Positioning - Create Shape, +ve Positioning - Create Shape",+ve QB12: Strong Side,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away",3pt,Made,10z7,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,481.9910938820030,17.70317237766240,Miami Heat,7,,"-ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Movement","+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",+ve Driving: Paint Touch,,,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Weak Side",+ve Relocate: Dunker- Baseline Cut,3pt,Made,5z1,"-ve Space Read: Live Dribble, +ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,518.2923551389910,14.202459885003700,Miami Heat,8,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill",-ve DM Catch: Uncontested Shot,,,,,,,"+ve QB12: Weak Side, +ve QB12: Strong Side",,3pt,Miss Short,2z1,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,542.4957463903220,6.197228309335290,Miami Heat,9,,+ve Cutting & Screening: Principle,,,+ve Finishing: Earn a Foul,-ve Footwork: Patient Pickup,,,,,,3pt,Made,8z2,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,748.8928436469940,12.003796042998400,Miami Heat,10,,-ve Cutting & Screening: Principle,-ve DM Catch: Drive a Swing/Skip Pass,,,+ve Footwork: Patient Pickup,,,,+ve QB12: Strong Side,,3pt,Miss Short,7z11,-ve Space Read: Catch,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,813.7902941733340,19.10281416332440,Miami Heat,11,,"+ve Cutting & Screening: Principle, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",-ve DM Catch: Swing,"+ve Driving: Paint Touch, +ve Driving: Paint Touch, +ve Driving: Physicality","+ve Finishing: Stride Pivot, +ve Finishing: Read the Length","+ve Footwork: Step to Ball, +ve Footwork: Step to Ball",+ve Passing: Read the Length,,+ve Positioning - Create Shape,,"+ve Relocate: Dunker- Baseline Cut, -ve Relocate: 45 Cut, -ve Relocate: Dunker- Baseline Cut, -ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Made,6z7,"+ve Space Read: Live Dribble, +ve Space Read: Live Dribble, +ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,851.2981077846520,13.497052204015500,Miami Heat,12,,"-ve Cutting & Screening: Denial, +ve Cutting & Screening: Principle",,,"+ve Finishing: Read the Length, +ve Finishing: Ball Security",,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Roller,+ve Relocate: Fill Behind,Short 2,Made,6z5,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.7.25 MIA v CHA Team,875.8953361953280,11.399401864334100,Miami Heat,13,,-ve Cutting & Screening: Principle,,,"+ve Finishing: Stride Pivot, +ve Finishing: Physicality",,,,+ve Positioning - Create Shape,,+ve Relocate: Fill Behind,Short 2,Made,5z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
