Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.14.25 MIA v NYK Team,1335.3265589996600,12.46901575195880,Miami Heat,14,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Physicality,,+ve Footwork: Patient Pickup,,,,"-ve QB12: Cutter, -ve QB12: Weak Side","+ve Relocate: Dunker- Baseline Cut, +ve Relocate: 45 Cut",Short 2,Miss Long,6z4,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1370.4953782339800,10.498820427655600,Miami Heat,15,,,+ve DM Catch: Uncontested Shot,,,,,,,"+ve QB12: Strong Side, +ve QB12: Strong Side",,3pt,Made,10z4,,+ve Transition: Effort and Pace,"Neutral, Match 1, Q0, Stat, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1434.2946726693100,12.997776223015800,Miami Heat,16,,+ve Cutting & Screening: Principle,,,+ve Finishing: Earn a Foul,,,,+ve Positioning - Create Shape,,+ve Relocate: Reverse Direction,Short 2,Fouled,5z7,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1522.6948788017000,11.896591035258600,Miami Heat,17,,,,+ve Driving: Paint Touch,+ve Finishing: Read the Length,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"+ve QB12: Baseline, +ve QB12: Cutter","+ve Relocate: Weak Corner, -ve Relocate: Slide Away",Short 2,Made,5z5,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1548.5946641916400,11.296012521640900,Miami Heat,18,,,+ve DM Catch: Uncontested Shot,+ve Driving: Paint Touch,,-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Weak Corner, -ve Relocate: Slide Away",3pt,Miss Right,10z4,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1797.5951172246700,9.897648636992470,Miami Heat,19,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass","+ve Driving: Paint Touch, +ve Driving: Paint Touch","+ve Finishing: Ball Security, +ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"-ve Relocate: Weak Corner, -ve Relocate: Slide Away",Short 2,Made,6z7,"+ve Space Read: Live Dribble, +ve Space Read: Catch",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1826.99642033232,9.899377669649310,Miami Heat,20,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","-ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,,,,,,,3pt,Miss Left,5z11,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1879.892739408300,9.999332045003480,Miami Heat,21,,"+ve Cutting & Screening: Denial, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",,,,+ve Footwork: Step to Ball,-ve Passing: Read the Length,,,,,,,,,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1892.2921994126700,12.300440399949400,Miami Heat,22,,+ve Cutting & Screening: Principle,,,,-ve Footwork: Patient Pickup,,,,"+ve QB12: Strong Side, -ve QB12: Roller",,3pt,Miss Long,9z2,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1915.6942585466800,11.800951707291700,Miami Heat,23,,+ve Cutting & Screening: Movement,"+ve DM Catch: Drive a Swing/Skip Pass, -ve DM Catch: Uncontested Shot",,,-ve Footwork: Step to Ball,,,,+ve QB12: Fill Behind,"-ve Relocate: Weak Corner, +ve Relocate: Slide Away",3pt,Made,3z11,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
