Timeline,Start time,Duration,Row,Instance number,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,Collective Coordination,Cutting & Screeing,DATE,DM Catch,Driving,Finishing,Footwork,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,ISO DIRECTION,ISO LOCATION,ISO MOVE,ISO PLAYER,JUMP SHOT DISTANCE,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,Passing,Points,Positioning,QB12 DM,RESULT,Relocation,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Location,Shot Outcome,Shot Specific,Space Read,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Transition,Ungrouped,Notes,Flags
06.21.25 KP v MIN Offense,290.993655719658,17.109049236977,KP,19,,,,,,,,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ve QB12: Weak Side,,,,,,,,,,,+ve Space Read: Catch,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,314.393231083298,8.59870725769571,KP,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,324.793415716318,10.4000123116716,KP,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,349.29549552965,14.8002169116641,KP,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ve QB12: Strong Side,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,364.893766104321,1.80069483700447,KP,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,365.494702603637,12.4998404993693,KP,24,,,,,,-ve Cutting & Screening: Denial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,385.694517992963,5.29848434034193,KP,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,394.593480394985,10.2024803753302,KP,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,410.693669169998,11.5994206323101,KP,27,,,,,,+ve Cutting & Screening: Denial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,424.894836169976,14.3966324430212,KP,28,,,,,,-ve Cutting & Screening: Principle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,445.59545134567,9.09253788900122,KP,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,462.89219996566,10.7021304526543,KP,30,,,,,,,,,+ve Driving: Paint Touch,+ve Finishing: Read the Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deep 2,Made,4z7,+ve Space Read: Catch,,,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,473.795571765983,9.89732283099482,KP,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,490.696482598976,6.89599941399337,KP,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,500.894818355333,18.2004751946665,KP,33,,,,,,,,,-ve Driving: Paint Touch,,-ve Footwork: Patient Pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3pt,Made,11z5,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,521.496325361003,18.9997000166591,KP,34,,,,,,+ve Cutting & Screening: Cut Fill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ve Passing: Teammate on the Move,,,,,+ve Relocate: Reverse Direction,,,,,,3pt,Miss Short,2z11,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,541.595951001323,18.3984062620146,KP,35,,,,,,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-ve Relocate: Weak Corner,,,,,,Deep 2,Made,3z7,+ve Space Read: Catch,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,560.992115781977,12.1940721533382,KP,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ve QB12: Strong Side,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,575.797096728294,6.99765123834561,KP,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,584.292505713005,17.0033263313262,KP,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
