Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
10.28.25 MIA v CHA Team,729.2918181923240,10.000299461671300,Miami Heat,17,,,"-ve DM Catch: Swing, -ve DM Catch: Back-to-Back","+ve Driving: Paint Touch, +ve Driving: Paint Touch",,,"+ve Passing: Teammate on the Move, -ve Passing: Read the Length",,+ve Positioning - Create Shape,"+ve QB12: Strong Side, -ve QB12: Strong Side","+ve Relocate: Weak Corner, -ve Relocate: Slide Away, +ve Relocate: Fill Behind, +ve Relocate: Slide Away",,,,"+ve Space Read: Live Dribble, +ve Space Read: Catch",+ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,808.3917913349950,15.80298788000110,Miami Heat,18,,,,,,+ve Footwork: Patient Pickup,,,,,,Short 2,Miss Short,6z7,,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,832.4937864330030,12.401825644998700,Miami Heat,19,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,-ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, -ve QB12: Weak Side",+ve Relocate: 45 Cut,Deep 2,Miss Short,3z6,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,856.9944216023410,10.198282381642700,Miami Heat,20,,,,,-ve Finishing: Ball Security,,,,,,-ve Relocate: Dunker- Baseline Cut,,,,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,902.694878511992,13.499720252665200,Miami Heat,21,,+ve Cutting & Screening: Denial,"+ve DM Catch: Swing, -ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",,,"+ve Footwork: Step to Ball, -ve Footwork: Step to Ball",,,+ve Positioning - Create Shape,+ve QB12: Strong Side,+ve Relocate: Dunker- Baseline Cut,3pt,Made,8z11,"-ve Space Read: Catch, +ve Space Read: Catch",,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,957.5937351646700,14.901221454983800,Miami Heat,22,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill, -ve Cutting & Screening: Denial","+ve DM Catch: Swing, +ve DM Catch: Swing, +ve DM Catch: Back-to-Back",+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Stride Holds",+ve Footwork: Step to Ball,+ve Passing: Read the Length,,,+ve QB12: Strong Side,-ve Relocate: 45 Cut,Deep 2,Made,4z7,-ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1016.794811948660,10.200412623000600,Miami Heat,23,,,"+ve DM Catch: Swing, +ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,,,-ve Positioning - Create Shape,,"+ve Relocate: Weak Corner, +ve Relocate: Slide Away, -ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away",Deep 2,Made,4z7,+ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1047.7961677723200,13.4002375613386,Miami Heat,24,,"+ve Cutting & Screening: Denial, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,,,3pt,Made,6z11,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1277.5947817760000,16.500270479007200,Miami Heat,25,,+ve Cutting & Screening: Principle,,,,-ve Footwork: Patient Pickup,,,,,,Short 2,Made,4z3,,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1341.4940936749900,11.099686785670900,Miami Heat,26,,+ve Cutting & Screening: Denial,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,,+ve Relocate: Fill Behind,Short 2,Made,5z7,+ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1376.3968367586600,10.896746293661900,Miami Heat,27,,,+ve DM Catch: Uncontested Shot,,+ve Finishing: Earn a Foul,,+ve Passing: Teammate on the Move,,,,,3pt,Made,11z6,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1432.7912625636500,15.201000487674700,Miami Heat,28,,+ve Cutting & Screening: Denial,+ve DM Catch: Uncontested Shot,+ve Driving: Paint Touch,,,+ve Passing: Teammate on the Move,,,+ve QB12: Strong Side,+ve Relocate: Slide Away,3pt,Miss Short,7z11,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1445.9946651286600,4.801076766325200,Miami Heat,29,,,,,,,,,,,,Short 2,Miss Long,6z4,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1465.2944564709900,9.000150021331590,Miami Heat,30,,,-ve DM Catch: Uncontested Shot,,,,,,,+ve QB12: Strong Side,,3pt,Miss Long,7z11,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1579.094219848330,17.49865698800020,Miami Heat,31,,,,+ve Driving: Paint Touch,+ve Finishing: Physicality,,,,+ve Positioning - Create Shape,,"-ve Relocate: Dunker- Baseline Cut, -ve Relocate: Fill Behind",Short 2,Made,4z5,+ve Space Read: Live Dribble,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1822.4509567040000,15.602259245672700,Miami Heat,32,,"+ve Cutting & Screening: Denial, -ve Cutting & Screening: Principle",,,+ve Finishing: Stride Pivot,,,,+ve Positioning - Create Shape,,+ve Relocate: Fill Behind,Short 2,Miss Long,5z8,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,1871.4526639273400,14.201735887657800,Miami Heat,33,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",,,-ve Footwork: Step to Ball,,,-ve Positioning - Create Shape,"-ve QB12: Cutter, +ve QB12: Fill Behind","+ve Relocate: 45 Cut, +ve Relocate: Fill Behind",3pt,Miss Long,5z11,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
