Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.3.25 MIA v LAC Team,1009.1934874626600,10.999801799663100,Miami Heat,16,,,,,-ve Finishing: Earn a Foul,-ve Footwork: Patient Pickup,,,,,,Short 2,Miss Right,5z7,-ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1098.1107965156300,20.78022944301690,Miami Heat,17,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill",-ve DM Catch: Swing,"+ve Driving: Paint Touch, +ve Driving: Paint Touch",,"+ve Footwork: Step to Ball, +ve Footwork: Step to Ball, -ve Footwork: Patient Pickup",,,-ve Positioning - Create Shape,,"+ve Relocate: Reverse Direction, -ve Relocate: Corner Fill, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Weak Corner, -ve Relocate: Slide Away, +ve Relocate: Fill Behind",Short 2,Miss Long,6z7,"+ve Space Read: Live Dribble, -ve Space Read: Live Dribble",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1317.7917070053400,6.702286960988430,Miami Heat,18,,,,+ve Driving: Paint Touch,+ve Finishing: Read the Length,+ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"-ve QB12: Strong Side, -ve QB12: Roller","+ve Relocate: Weak Corner, +ve Relocate: Weak Corner, -ve Relocate: Slide Away",Short 2,Made,5z7,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1343.3912709609500,11.101877623684900,Miami Heat,19,,,"+ve DM Catch: Swing, +ve DM Catch: Swing, +ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,"+ve Footwork: Step to Ball, -ve Footwork: Step to Ball",,,,,,3pt,Miss Short,7z11,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1377.093868259300,10.099586783726200,Miami Heat,20,,,,,,"-ve Footwork: Step to Ball, +ve Footwork: Patient Pickup",,,,+ve QB12: Weak Side,,3pt,Made,6z11,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1414.0936433319900,14.398435468675600,Miami Heat,21,,,,+ve Driving: Paint Touch,,+ve Footwork: Patient Pickup,,,-ve Positioning - Create Shape,,+ve Relocate: Fill Behind,Short 2,Made,7z5,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1442.793367226280,8.829038273004700,Miami Heat,22,,,,,-ve Finishing: Ball Security,,,,,,,,,,,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1490.591657138300,15.001735814996900,Miami Heat,23,,,+ve DM Catch: Back-to-Back,"+ve Driving: Paint Touch, +ve Driving: Paint Touch",+ve Finishing: Earn a Foul,-ve Footwork: Step to Ball,"+ve Passing: Teammate on the Move, +ve Passing: Teammate on the Move",,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Fill Behind, +ve QB12: Baseline","-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away, -ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Fouled,5z8,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1584.5910499683000,15.202779304009300,Miami Heat,24,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Principle",,,+ve Finishing: Earn a Foul,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,"+ve QB12: Roller, -ve QB12: Strong Side","-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Weak Corner",Deep 2,Fouled,4z7,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,1689.593202242670,11.298049250937500,Miami Heat,25,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,"-ve Finishing: Stride Pivot, -ve Finishing: Read the Length",+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,-ve QB12: Strong Side,"-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away, +ve Relocate: Weak Corner",Short 2,Miss Short,6z7,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
