Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped
10.12.25 MIA v ORL Team,2728.3040783536600,13.404840520676300,Miami Heat,41,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",,"+ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,,,Deep 2,Miss Long,4z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,2738.1086612720000,3.699753848327870,Miami Heat,42,,,,,,,,,,,,Deep 2,Made,3z6,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,2766.708420201330,11.09966262267150,Miami Heat,43,,+ve Cutting & Screening: Cut Fill,"+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",-ve Driving: Paint Touch,,+ve Footwork: Step to Ball,,,,-ve QB12: Cutter,+ve Relocate: 45 Cut,3pt,Miss Short,7z1,"+ve Space Read: Catch, -ve Space Read: Catch",,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,2994.0066943739900,8.594872894659150,Miami Heat,44,,,"+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Back-to-Back",,-ve Finishing: Ball Security,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,-ve QB12: Cutter,"+ve Relocate: Weak Corner, +ve Relocate: Slide Away, -ve Relocate: Fill Behind, +ve Relocate: Slide Away, -ve Relocate: Slide Away, -ve Relocate: Dunker- Baseline Cut",,,,+ve Space Read: Catch,,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3002.3074659536400,7.199857064002120,Miami Heat,45,,,+ve DM Catch: Uncontested Shot,,,,,,,+ve QB12: Strong Side,,3pt,Made,8z1,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3088.1045225349800,28.407060922993400,Miami Heat,46,,"+ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Principle","+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Back-to-Back, -ve DM Catch: Swing, -ve DM Catch: Swing",,,"-ve Footwork: Step to Ball, +ve Footwork: Step to Ball","+ve Passing: Teammate on the Move, -ve Passing: Teammate on the Move",,+ve Positioning - Create Shape,"+ve QB12: Weak Side, -ve QB12: Weak Side","-ve Relocate: 45 Cut, +ve Relocate: Fill Behind, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind, +ve Relocate: 45 Cut, +ve Relocate: Corner Fill",Short 2,Miss Long,6z8,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3121.8061836119900,8.802295815318300,Miami Heat,47,,,,,+ve Finishing: Read the Length,,+ve Passing: Teammate on the Move,,,,,Deep 2,Made,4z7,,"-ve Transition: Effort and Pace, +ve Transition: Pitch Ahead","Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3186.804800306980,10.101568873689300,Miami Heat,48,,,+ve DM Catch: Uncontested Shot,,,,,,,,,3pt,Miss Long,7z11,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3259.808436138990,7.69986585766037,Miami Heat,49,,,"+ve DM Catch: Swing, -ve DM Catch: Swing, -ve DM Catch: Uncontested Shot",,,+ve Footwork: Step to Ball,,,,,,3pt,Miss Long,8z2,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3330.908897182010,18.99660847298130,Miami Heat,50,,+ve Cutting & Screening: Denial,"+ve DM Catch: Back-to-Back, -ve DM Catch: Swing",+ve Driving: Paint Touch,+ve Finishing: Read the Length,,"+ve Passing: Teammate on the Move, +ve Passing: Teammate on the Move, +ve Passing: Teammate on the Move, +ve Passing: Teammate on the Move",,-ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Strong Side, +ve QB12: Weak Side, +ve QB12: Cutter","+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Weak Corner, +ve Relocate: Fill Behind, -ve Relocate: 45 Cut, +ve Relocate: Dunker- Baseline Cut",Short 2,Miss Short,6z7,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3355.5080491799700,9.602102337007640,Miami Heat,51,,,,,,,-ve Passing: Teammate on the Move,,,,,,,,,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3396.8087418456400,16.601666852702200,Miami Heat,52,,,+ve DM Catch: Back-to-Back,,+ve Finishing: Read the Length,-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Fill Behind,"+ve Relocate: Fill Behind, -ve Relocate: Dunker- Baseline Cut, -ve Relocate: 45 Cut",Short 2,Miss Short,5z7,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3515.1071983123000,6.298336619004660,Miami Heat,53,,+ve Cutting & Screening: Movement,"+ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,,,,,,,3pt,Made,4z11,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3531.409347292640,21.19902798935710,Miami Heat,54,,-ve Cutting & Screening: Denial,"+ve DM Catch: Swing, -ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,,,,,+ve QB12: Strong Side,,3pt,Miss Right,3z1,"-ve Space Read: Catch, -ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3564.406775897990,20.402086130011900,Miami Heat,55,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, -ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Drive a Swing/Skip Pass",,,"+ve Footwork: Step to Ball, +ve Footwork: Step to Ball, +ve Footwork: Patient Pickup",+ve Passing: Teammate on the Move,,"-ve Positioning - Create Shape, +ve Positioning - Create Shape","+ve QB12: Fill Behind, -ve QB12: Weak Side","+ve Relocate: Fill Behind, -ve Relocate: Dunker- Baseline Cut, +ve Relocate: Reverse Direction",Short 2,Made,5z5,"+ve Space Read: Live Dribble, -ve Space Read: Catch, +ve Space Read: Catch",+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3799.6053692506600,10.199178414332900,Miami Heat,56,,,+ve DM Catch: Uncontested Shot,,,,,,,,,3pt,Made,7z11,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3832.0085361406600,8.799520049332390,Miami Heat,57,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, -ve Finishing: Read the Length",,,,,,,Short 2,Miss Short,5z5,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3901.308857022990,20.79854905698590,Miami Heat,58,,-ve Cutting & Screening: Principle,,,+ve Finishing: Read the Length,,"-ve Passing: Read the Length, +ve Passing: Teammate on the Move",,"-ve Positioning - Create Shape, +ve Positioning - Create Shape",+ve QB12: Cutter,"+ve Relocate: Reverse Direction, +ve Relocate: Weak Corner",Short 2,Miss Long,4z5,,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3931.508581375990,13.30250642132210,Miami Heat,59,,,"-ve DM Catch: Swing, -ve DM Catch: Back-to-Back, +ve DM Catch: Uncontested Shot",,,,"+ve Passing: Teammate on the Move, -ve Passing: Read the Length",,,,,3pt,Made,2z1,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,3956.906197500320,15.299561906642800,Miami Heat,60,,,"-ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",,-ve Finishing: Read the Length,,,,,"-ve QB12: Cutter, -ve QB12: Strong Side","+ve Relocate: Weak Corner, +ve Relocate: Slide Away",Short 2,Miss Right,6z5,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
